회차,패턴,정렬된패턴,당첨번호1,당첨번호2,당첨번호3,당첨번호4,당첨번호5,당첨번호6
1140,ABCDDE,03_ABCDDE,7,10,22,29,31,38
49,AABCDE,04_AABCDE,4,7,16,19,33,40
99,AABCDE,04_AABCDE,1,3,10,27,29,37
284,AABCDE,04_AABCDE,2,7,15,24,30,45
296,AABCDE,04_AABCDE,3,8,15,27,30,45
331,AABCDE,04_AABCDE,4,9,14,26,31,44
339,AABCDE,04_AABCDE,6,8,14,21,30,37
347,AABCDE,04_AABCDE,3,8,13,27,32,42
356,AABCDE,04_AABCDE,2,8,14,25,29,45
386,AABCDE,04_AABCDE,4,7,10,19,31,40
413,AABCDE,04_AABCDE,2,9,15,23,34,40
547,AABCDE,04_AABCDE,6,7,15,22,34,39
550,AABCDE,04_AABCDE,1,7,14,20,34,37
568,AABCDE,04_AABCDE,1,3,17,20,31,44
594,AABCDE,04_AABCDE,2,8,13,25,28,37
705,AABCDE,04_AABCDE,1,6,17,22,28,45
751,AABCDE,04_AABCDE,3,4,16,20,28,44
776,AABCDE,04_AABCDE,8,9,18,21,28,40
794,AABCDE,04_AABCDE,6,7,18,19,30,38
803,AABCDE,04_AABCDE,5,9,14,26,30,43
921,AABCDE,04_AABCDE,5,7,12,22,28,41
928,AABCDE,04_AABCDE,3,4,10,20,28,44
950,AABCDE,04_AABCDE,3,4,15,22,28,40
987,AABCDE,04_AABCDE,2,4,15,23,29,38
1011,AABCDE,04_AABCDE,1,9,12,26,35,38
1032,AABCDE,04_AABCDE,1,6,12,19,36,42
1070,AABCDE,04_AABCDE,3,6,14,22,30,41
77,ABDDEE,05_ABDDEE,2,18,29,32,43,44
136,ABDDEE,05_ABDDEE,2,16,30,36,41,42
141,ABDDEE,05_ABDDEE,8,12,29,31,42,43
156,ABDDEE,05_ABDDEE,5,18,28,30,42,45
189,ABDDEE,05_ABDDEE,8,14,32,35,37,45
279,ABDDEE,05_ABDDEE,7,16,31,36,37,38
313,ABDDEE,05_ABDDEE,9,17,34,35,43,45
315,ABDDEE,05_ABDDEE,1,13,33,35,43,45
322,ABDDEE,05_ABDDEE,9,18,29,32,38,43
383,ABDDEE,05_ABDDEE,4,15,28,33,37,40
460,ABDDEE,05_ABDDEE,8,11,28,30,43,45
491,ABDDEE,05_ABDDEE,8,17,35,36,39,42
746,ABDDEE,05_ABDDEE,3,12,33,36,42,45
782,ABDDEE,05_ABDDEE,6,18,31,34,38,45
845,ABDDEE,05_ABDDEE,1,16,29,33,40,45
866,ABDDEE,05_ABDDEE,9,15,29,34,37,39
883,ABDDEE,05_ABDDEE,9,18,32,33,37,44
891,ABDDEE,05_ABDDEE,9,13,28,31,39,41
951,ABDDEE,05_ABDDEE,2,12,30,31,39,43
1008,ABDDEE,05_ABDDEE,9,11,30,31,41,44
1035,ABDDEE,05_ABDDEE,9,14,34,35,41,42
1050,ABDDEE,05_ABDDEE,6,12,31,35,38,43
1107,ABDDEE,05_ABDDEE,6,14,30,31,40,41
1111,ABDDEE,05_ABDDEE,3,13,30,33,43,45
1145,ABDDEE,05_ABDDEE,2,11,31,33,37,44
44,ABCDEE,06_ABCDEE,3,11,21,30,38,45
105,ABCDEE,06_ABCDEE,8,10,20,34,41,45
132,ABCDEE,06_ABCDEE,3,17,23,34,41,45
149,ABCDEE,06_ABCDEE,2,11,21,34,41,42
150,ABCDEE,06_ABCDEE,2,18,25,28,37,39
166,ABCDEE,06_ABCDEE,9,12,27,36,39,45
183,ABCDEE,06_ABCDEE,2,18,24,34,40,42
231,ABCDEE,06_ABCDEE,5,10,19,31,44,45
264,ABCDEE,06_ABCDEE,9,16,27,36,41,44
269,ABCDEE,06_ABCDEE,5,18,20,36,42,43
276,ABCDEE,06_ABCDEE,4,15,21,33,39,41
325,ABCDEE,06_ABCDEE,7,17,20,32,44,45
333,ABCDEE,06_ABCDEE,5,14,27,30,39,43
435,ABCDEE,06_ABCDEE,8,16,26,30,38,45
528,ABCDEE,06_ABCDEE,5,17,25,31,39,40
583,ABCDEE,06_ABCDEE,8,17,27,33,40,44
598,ABCDEE,06_ABCDEE,4,12,24,33,38,45
607,ABCDEE,06_ABCDEE,8,14,23,36,38,39
618,ABCDEE,06_ABCDEE,8,16,25,30,42,43
752,ABCDEE,06_ABCDEE,4,16,20,33,40,43
884,ABCDEE,06_ABCDEE,4,14,23,28,37,45
935,ABCDEE,06_ABCDEE,4,10,20,32,38,44
1060,ABCDEE,06_ABCDEE,3,10,24,33,38,45
1125,ABCDEE,06_ABCDEE,6,14,25,33,40,44
41,BCCDEE,07_BCCDEE,13,20,23,35,38,43
58,BCCDEE,07_BCCDEE,10,24,25,33,40,44
84,BCCDEE,07_BCCDEE,16,23,27,34,42,45
181,BCCDEE,07_BCCDEE,14,21,23,32,40,45
252,BCCDEE,07_BCCDEE,14,23,26,31,39,45
275,BCCDEE,07_BCCDEE,14,19,20,35,38,40
302,BCCDEE,07_BCCDEE,13,19,20,32,38,42
345,BCCDEE,07_BCCDEE,15,20,23,29,39,42
368,BCCDEE,07_BCCDEE,11,21,24,30,39,45
431,BCCDEE,07_BCCDEE,18,22,25,31,38,45
445,BCCDEE,07_BCCDEE,13,20,21,30,39,45
454,BCCDEE,07_BCCDEE,13,25,27,34,38,41
525,BCCDEE,07_BCCDEE,11,23,26,29,39,44
534,BCCDEE,07_BCCDEE,10,24,26,29,37,38
682,BCCDEE,07_BCCDEE,17,23,27,35,38,43
743,BCCDEE,07_BCCDEE,15,19,21,34,41,44
760,BCCDEE,07_BCCDEE,10,22,27,31,42,43
806,BCCDEE,07_BCCDEE,14,20,23,31,37,38
914,BCCDEE,07_BCCDEE,16,19,24,33,42,44
992,BCCDEE,07_BCCDEE,12,20,26,33,44,45
1088,BCCDEE,07_BCCDEE,11,21,22,30,39,44
1090,BCCDEE,07_BCCDEE,12,19,21,29,40,45
1112,BCCDEE,07_BCCDEE,16,20,26,36,42,44
1,BCDDEE,08_BCDDEE,10,23,29,33,37,40
4,BCDDEE,08_BCDDEE,14,27,30,31,40,42
90,BCDDEE,08_BCDDEE,17,20,29,35,38,44
208,BCDDEE,08_BCDDEE,14,25,31,34,40,44
228,BCDDEE,08_BCDDEE,17,25,35,36,39,44
258,BCDDEE,08_BCDDEE,14,27,30,31,38,40
369,BCDDEE,08_BCDDEE,17,20,35,36,41,43
396,BCDDEE,08_BCDDEE,18,20,31,34,40,45
439,BCDDEE,08_BCDDEE,17,20,30,31,37,40
509,BCDDEE,08_BCDDEE,12,25,29,35,42,43
664,BCDDEE,08_BCDDEE,10,20,33,36,41,44
691,BCDDEE,08_BCDDEE,15,27,33,35,43,45
808,BCDDEE,08_BCDDEE,15,21,31,32,41,43
842,BCDDEE,08_BCDDEE,14,26,32,36,39,42
863,BCDDEE,08_BCDDEE,16,21,28,35,39,43
898,BCDDEE,08_BCDDEE,18,21,28,35,37,42
925,BCDDEE,08_BCDDEE,13,24,32,34,39,42
949,BCDDEE,08_BCDDEE,14,21,35,36,40,44
1002,BCDDEE,08_BCDDEE,17,25,33,35,38,45
1009,BCDDEE,08_BCDDEE,15,23,29,34,40,44
1015,BCDDEE,08_BCDDEE,14,23,31,33,37,40
1016,BCDDEE,08_BCDDEE,15,26,28,34,41,42
9,AABBDE,09_AABBDE,2,4,16,17,36,39
67,AABBDE,09_AABBDE,3,7,10,15,36,38
71,AABBDE,09_AABBDE,5,9,12,16,29,41
120,AABBDE,09_AABBDE,4,6,10,11,32,37
218,AABBDE,09_AABBDE,1,8,14,18,29,44
233,AABBDE,09_AABBDE,4,6,13,17,28,40
337,AABBDE,09_AABBDE,1,5,14,18,32,37
501,AABBDE,09_AABBDE,1,4,10,17,31,42
519,AABBDE,09_AABBDE,6,8,13,16,30,43
656,AABBDE,09_AABBDE,3,7,14,16,31,40
687,AABBDE,09_AABBDE,1,8,10,13,28,42
696,AABBDE,09_AABBDE,1,7,16,18,34,38
757,AABBDE,09_AABBDE,6,7,11,17,33,44
800,AABBDE,09_AABBDE,1,4,10,12,28,45
844,AABBDE,09_AABBDE,7,8,13,15,33,45
873,AABBDE,09_AABBDE,3,5,12,13,33,39
890,AABBDE,09_AABBDE,1,4,14,18,29,37
911,AABBDE,09_AABBDE,4,5,12,14,32,42
958,AABBDE,09_AABBDE,2,9,10,16,35,37
1019,AABBDE,09_AABBDE,1,4,13,17,34,39
1137,AABBDE,09_AABBDE,4,9,12,15,33,45
1153,AABBDE,09_AABBDE,1,9,10,13,35,44
39,AABBCE,10_AABBCE,6,7,13,15,21,43
51,AABBCE,10_AABBCE,2,3,11,16,26,44
69,AABBCE,10_AABBCE,5,8,14,15,19,39
227,AABBCE,10_AABBCE,4,5,15,16,22,42
232,AABBCE,10_AABBCE,8,9,10,12,24,44
300,AABBCE,10_AABBCE,7,9,10,12,26,38
358,AABBCE,10_AABBCE,1,9,10,12,21,40
459,AABBCE,10_AABBCE,4,6,10,14,25,40
465,AABBCE,10_AABBCE,1,8,11,13,22,38
