회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스
872,A,A,D,D,D,E,D
873,A,A,B,B,D,E,E
874,A,B,C,C,D,E,D
875,C,C,D,D,E,E,D
876,A,B,C,C,D,E,C
877,A,B,B,C,C,E,B
878,A,A,B,B,C,D,A
879,A,A,B,B,B,D,C
880,A,B,C,C,C,E,E
881,A,B,C,C,C,D,A
882,B,D,E,E,E,E,C
883,A,B,D,D,E,E,C
884,A,B,C,D,E,E,B
885,A,A,C,C,E,E,D
886,C,C,D,E,E,E,A
887,A,B,B,C,D,E,B
888,A,A,B,D,D,E,D
889,A,B,D,E,E,E,C
890,A,A,B,B,D,E,A
891,A,B,D,D,E,E,C
892,A,A,B,B,C,E,D
893,A,B,B,C,C,E,B
894,C,D,E,E,E,E,E
895,B,C,D,E,E,E,C
896,A,B,C,C,E,E,C
897,A,A,B,C,C,D,D
898,B,C,D,D,E,E,B
899,A,C,C,C,D,E,E
900,A,B,B,B,D,E,B
901,A,B,C,C,D,D,C
902,A,C,C,C,D,E,D
903,A,B,B,C,C,D,E
904,A,A,A,C,E,E,B
905,A,A,B,C,E,E,C
906,A,A,B,D,D,D,C
907,C,C,D,E,E,E,E
908,A,B,C,C,C,E,D
909,A,C,D,D,D,D,D
910,A,B,B,C,D,E,D
911,A,A,B,B,D,E,D
912,A,A,B,C,C,E,B
913,A,B,B,C,C,E,E
914,B,C,C,D,E,E,C
915,A,A,B,B,C,E,B
916,A,C,C,D,D,D,B
917,A,A,C,C,C,E,D
918,A,B,B,D,D,E,A
919,A,B,B,B,E,E,D
920,A,A,C,D,D,E,D
921,A,A,B,C,D,E,A
922,A,A,B,B,C,E,D
923,A,B,B,C,D,E,C
924,A,B,D,E,E,E,B
925,B,C,D,D,E,E,A
926,B,B,B,C,C,D,A
927,A,B,C,E,E,E,C
928,A,A,B,C,D,E,D
929,A,A,B,B,C,C,A
930,A,C,C,E,E,E,D
931,B,B,C,C,D,E,D
932,A,A,B,D,E,E,A
933,C,C,D,D,D,E,E
934,A,A,D,D,D,E,B
935,A,B,C,D,E,E,B
936,A,B,B,B,B,D,E
937,A,B,B,C,D,E,C
938,A,A,B,B,D,D,A
939,A,B,D,E,E,E,A
940,A,B,C,C,C,E,B
941,B,B,C,C,E,E,D
942,B,B,B,D,E,E,E
943,A,A,B,D,E,E,E
944,A,B,B,C,D,D,E
945,A,B,B,D,D,E,C
946,A,B,C,D,D,E,C
947,A,A,B,C,C,D,C
948,B,B,D,D,E,E,A
949,B,C,D,D,E,E,D
950,A,A,B,C,D,E,B
951,A,B,D,D,E,E,E
952,A,B,C,C,D,E,E
953,A,A,C,C,E,E,D
954,A,A,C,D,D,E,D
955,A,A,C,C,D,D,A
956,B,B,C,C,C,E,E
957,A,B,C,D,D,E,A
958,A,A,B,B,D,E,A
959,A,B,B,C,E,E,D
960,A,B,C,D,D,E,B
961,B,C,D,D,D,E,E
962,A,B,D,D,D,E,E
963,A,B,C,C,D,E,D
964,A,C,D,E,E,E,D
965,A,B,C,D,D,D,D
966,A,C,C,D,D,E,D
967,A,A,B,E,E,E,A
968,A,A,B,B,C,E,D
969,A,A,B,D,E,E,A
970,A,B,B,C,D,D,A
971,A,A,B,B,C,C,A
972,A,A,B,C,E,E,C
973,C,C,D,E,E,E,C
974,A,A,B,B,E,E,D
975,A,A,A,B,C,C,A
976,A,B,B,C,D,E,A
977,A,A,B,B,C,E,B
978,A,A,B,D,D,E,A
979,A,B,B,C,C,D,C
980,A,B,B,C,C,D,B
981,C,D,E,E,E,E,D
982,A,A,B,C,C,E,D
983,B,C,C,D,D,E,B
984,A,B,C,D,D,E,B
985,B,C,C,D,D,E,C
986,A,B,B,D,E,E,E
987,A,A,B,C,D,E,A
988,A,B,C,D,D,E,C
989,B,B,C,C,D,D,C
990,A,A,C,C,D,E,D
991,B,B,C,D,D,E,E
992,B,C,C,D,E,E,C
993,A,B,B,B,C,E,E
994,A,A,A,C,C,D,D
995,A,A,B,D,E,E,A
996,A,B,B,C,D,E,D
997,A,A,B,B,C,E,C
998,B,B,B,C,E,E,E
999,A,A,A,B,B,D,D
1000,A,A,C,C,D,E,E
1001,A,B,B,B,C,E,B
1002,B,C,D,D,E,E,B
1003,A,A,D,E,E,E,D
1004,A,B,D,E,E,E,B
1005,A,B,B,C,C,D,B
1006,A,B,B,B,B,E,D
1007,A,B,B,C,C,C,E
1008,A,B,D,D,E,E,D
1009,B,C,D,D,E,E,C
1010,A,B,B,C,D,D,A
1011,A,A,B,C,D,E,E
1012,A,B,B,C,D,E,A
1013,C,C,C,D,D,E,D
1014,A,B,B,B,C,C,C
1015,B,C,D,D,E,E,E
1016,B,C,D,D,E,E,E
1017,B,B,C,C,D,D,D
1018,A,C,C,C,E,E,D
1019,A,A,B,B,D,E,A
1020,B,C,D,E,E,E,A
1021,B,B,B,C,D,E,B
1022,A,A,B,D,E,E,D
1023,B,B,B,B,D,D,C
1024,A,B,C,C,E,E,B
1025,A,A,C,C,D,D,A
1026,A,B,B,D,D,E,D
1027,B,B,C,D,E,E,A
1028,A,A,B,B,B,D,C
1029,B,D,D,E,E,E,C
1030,A,A,B,B,C,D,A
1031,A,A,C,D,D,D,C
1032,A,A,B,C,D,E,D
1033,A,B,B,C,D,E,B
1034,C,D,D,D,E,E,B
1035,A,B,D,D,E,E,A
1036,A,A,C,D,D,E,E
1037,A,B,B,C,C,D,D
1038,A,B,C,C,E,E,A
1039,A,A,A,C,D,E,C
1040,A,B,C,D,D,D,B
1041,A,A,A,B,B,B,E
1042,A,B,B,C,D,E,A
1043,A,A,B,C,C,D,C
1044,B,B,C,C,D,D,A
1045,A,B,B,C,C,E,E
1046,A,B,C,D,D,D,D
1047,A,C,D,E,E,E,D
1048,A,B,B,C,D,E,D
1049,A,A,B,C,C,E,B
1050,A,B,D,D,E,E,B
1051,C,C,D,D,D,D,E
1052,A,B,C,C,D,E,A
1053,C,C,D,D,D,E,B
1054,B,C,C,D,D,E,D
1055,A,A,B,B,C,D,D
1056,B,C,C,D,D,E,D
1057,A,B,C,C,E,E,B
1058,B,C,C,D,D,E,E
1059,A,B,C,C,D,E,C
1060,A,B,C,D,E,E,D
1061,A,C,C,D,E,E,B
1062,C,D,D,E,E,E,B
1063,A,A,C,C,C,E,D
1064,A,A,A,B,C,D,B
1065,A,B,C,C,D,E,C
1066,A,B,B,C,C,D,E
1067,A,B,C,C,D,D,B
1068,A,A,C,C,D,D,A
1069,A,B,B,C,D,D,E
1070,A,A,B,C,D,E,D
1071,A,A,B,C,D,D,E
1072,B,B,C,C,D,E,C
1073,A,B,D,D,D,E,B
1074,A,A,C,C,D,E,B
1075,A,C,C,D,E,E,B
1076,A,A,A,D,D,E,B
1077,A,A,B,D,E,E,D
1078,A,B,B,B,D,E,E
1079,A,A,B,C,E,E,A
1080,B,B,C,D,D,E,E
1081,A,A,B,C,C,E,B
1082,C,C,C,D,D,E,D
1083,A,A,B,B,C,E,B
1084,A,B,B,D,D,E,A
1085,A,A,B,B,E,E,D
1086,B,B,C,C,D,D,E
1087,B,B,B,C,D,E,B
1088,B,C,C,D,E,E,D
1089,A,B,D,E,E,E,E
1090,B,C,C,D,E,E,A
1091,A,C,C,C,D,D,E
1092,A,B,C,C,D,E,E
1093,B,B,C,D,D,E,E
1094,A,A,B,C,C,E,E
1095,A,B,D,D,D,E,B
1096,A,B,B,C,C,E,D
1097,B,D,D,D,E,E,A
1098,B,B,C,C,E,E,B
1099,A,C,D,E,E,E,A
1100,B,C,D,D,D,E,B
1101,A,A,B,D,D,E,E
1102,B,B,C,C,E,E,C
1103,B,B,D,D,E,E,A
1104,A,A,C,D,D,E,A
1105,A,B,D,E,E,E,B
1106,A,A,A,D,E,E,D
1107,A,B,D,D,E,E,D
1108,A,C,C,E,E,E,C
1109,B,B,B,C,D,E,A
1110,A,A,B,C,C,E,C
1111,A,B,D,D,E,E,A
1112,B,C,C,D,E,E,C
1113,B,B,C,C,D,E,A
1114,B,B,C,D,D,E,A
1115,A,B,C,D,D,D,A
1116,B,B,B,C,D,D,D
1117,A,A,A,D,D,D,A
1118,B,B,B,B,B,E,A
1119,A,A,B,B,C,E,A
1120,A,C,C,D,E,E,D
1121,A,C,D,D,E,E,A
1122,A,A,C,D,D,D,C
1123,B,C,C,C,D,D,C
1124,A,A,B,D,D,D,D
1125,A,B,C,D,E,E,D
1126,A,A,A,B,E,E,A
1127,B,B,C,D,D,E,D
1128,A,A,A,B,D,D,E
1129,A,B,B,B,D,D,C
1130,B,C,C,C,C,D,E
1131,A,A,A,B,C,E,D
1132,A,A,C,D,D,E,A
1133,B,B,C,D,D,D,C
1134,A,A,A,B,C,C,C
1135,A,A,B,C,C,D,A
1136,C,D,D,E,E,E,A
1137,A,A,B,B,D,E,C
1138,B,B,C,C,D,D,D
1139,A,B,B,D,E,E,B
1140,A,B,C,D,D,E,B
1141,A,B,B,C,C,D,C
1142,A,A,D,D,E,E,C
1143,B,B,B,C,D,D,A
1144,A,A,B,B,C,D,A
1145,A,B,D,D,E,E,D
1146,A,B,B,C,E,E,D
1147,A,B,C,C,C,E,D
1148,A,A,B,B,B,C,D
1149,A,B,C,C,D,D,E
1150,A,A,B,D,E,E,C
1151,A,A,A,B,C,D,A
1152,D,D,D,D,D,E,A
1153,A,A,B,B,D,E,A
1154,A,A,C,C,D,E,C
1155,B,B,C,C,E,E,B
1156,D,D,D,E,E,E,A
1157,A,A,B,C,C,C,D
1158,C,C,C,D,E,E,C
1159,A,A,C,D,E,E,A
1160,A,B,B,D,E,E,C
1161,A,B,C,C,D,E,E
1162,C,C,C,C,D,D,A
1163,A,B,B,B,D,E,A
1164,B,B,C,C,E,E,C
1165,A,A,C,D,E,E,B
1166,B,C,C,C,D,E,B
1167,A,C,D,D,E,E,C
1168,A,C,C,D,D,E,D
