공통패턴(3개번호),등장횟수
"(12, 25, 31)",5
"(12, 31, 42)",5
"(12, 38, 40)",5
"(13, 15, 34)",5
"(13, 15, 41)",5
"(13, 22, 26)",5
"(13, 22, 34)",5
"(13, 23, 31)",5
"(13, 24, 30)",5
"(13, 25, 29)",5
"(13, 25, 32)",5
"(13, 26, 34)",5
"(13, 30, 32)",5
"(13, 30, 33)",5
"(13, 30, 39)",5
"(13, 30, 41)",5
"(13, 30, 42)",5
"(13, 30, 43)",5
"(13, 31, 43)",5
"(13, 43, 45)",5
"(14, 15, 30)",5
"(14, 16, 40)",5
"(14, 28, 32)",5
"(14, 29, 44)",5
"(14, 29, 45)",5
"(14, 30, 41)",5
"(14, 36, 42)",5
"(14, 38, 42)",5
"(14, 40, 45)",5
"(15, 17, 44)",5
"(15, 19, 28)",5
"(15, 19, 30)",5
"(15, 20, 30)",5
"(15, 22, 43)",5
"(15, 23, 33)",5
"(15, 30, 31)",5
"(15, 30, 44)",5
"(15, 31, 34)",5
"(15, 31, 36)",5
"(16, 18, 32)",5
"(16, 20, 40)",5
"(16, 22, 40)",5
"(16, 28, 32)",5
"(16, 30, 41)",5
"(16, 31, 36)",5
"(16, 42, 45)",5
"(16, 43, 45)",5
"(17, 18, 24)",5
"(17, 21, 40)",5
"(17, 23, 28)",5
"(17, 26, 30)",5
"(17, 29, 38)",5
"(17, 34, 43)",5
"(17, 37, 44)",5
"(17, 38, 40)",5
"(18, 20, 38)",5
"(18, 28, 30)",5
"(18, 30, 32)",5
"(19, 25, 32)",5
"(19, 31, 36)",5
"(19, 40, 42)",5
"(19, 43, 44)",5
"(20, 24, 33)",5
"(20, 24, 34)",5
"(20, 32, 40)",5
"(21, 22, 32)",5
"(21, 22, 35)",5
"(21, 28, 33)",5
"(21, 32, 43)",5
"(21, 35, 39)",5
"(21, 35, 43)",5
"(22, 25, 33)",5
"(22, 27, 35)",5
"(22, 30, 33)",5
"(22, 30, 44)",5
"(22, 31, 41)",5
"(22, 35, 39)",5
"(23, 26, 33)",5
"(23, 29, 44)",5
"(23, 31, 36)",5
"(23, 32, 42)",5
"(24, 25, 40)",5
"(24, 29, 32)",5
"(24, 29, 33)",5
"(24, 31, 37)",5
"(24, 31, 39)",5
"(24, 33, 36)",5
"(24, 38, 42)",5
"(24, 39, 42)",5
"(25, 29, 44)",5
"(25, 32, 40)",5
"(25, 33, 36)",5
"(25, 36, 44)",5
"(26, 27, 29)",5
"(26, 27, 37)",5
"(26, 30, 31)",5
"(26, 31, 38)",5
"(26, 34, 41)",5
"(26, 36, 43)",5
"(26, 41, 44)",5
"(27, 31, 36)",5
"(27, 31, 42)",5
"(27, 37, 44)",5
"(28, 29, 42)",5
"(28, 33, 45)",5
"(28, 35, 45)",5
"(28, 36, 42)",5
"(29, 33, 43)",5
"(29, 42, 44)",5
"(29, 43, 44)",5
"(30, 33, 36)",5
"(30, 33, 43)",5
"(31, 37, 42)",5
"(34, 43, 44)",5
"(34, 44, 45)",5
"(1, 2, 6)",4
"(1, 2, 9)",4
"(1, 3, 15)",4
"(1, 4, 30)",4
"(1, 5, 15)",4
"(1, 5, 25)",4
"(1, 6, 31)",4
"(1, 7, 15)",4
"(1, 8, 14)",4
"(1, 9, 15)",4
"(1, 9, 16)",4
"(1, 9, 19)",4
"(1, 9, 40)",4
"(1, 9, 44)",4
"(1, 10, 31)",4
"(1, 13, 36)",4
"(1, 14, 36)",4
"(1, 15, 25)",4
"(1, 15, 33)",4
"(1, 16, 25)",4
"(1, 16, 31)",4
"(1, 16, 36)",4
"(1, 17, 37)",4
"(1, 17, 44)",4
"(1, 18, 30)",4
"(1, 18, 41)",4
"(1, 19, 25)",4
"(1, 19, 35)",4
"(1, 19, 40)",4
"(1, 20, 35)",4
"(1, 21, 38)",4
"(1, 22, 39)",4
"(1, 23, 30)",4
"(1, 23, 41)",4
"(1, 25, 29)",4
"(1, 25, 32)",4
"(1, 25, 37)",4
"(1, 26, 41)",4
"(1, 29, 32)",4
"(1, 29, 41)",4
"(1, 30, 36)",4
"(1, 30, 38)",4
"(1, 32, 33)",4
"(1, 32, 38)",4
"(1, 33, 39)",4
"(1, 34, 41)",4
"(1, 36, 43)",4
"(1, 38, 43)",4
"(1, 39, 40)",4
"(1, 40, 43)",4
"(2, 3, 15)",4
"(2, 3, 42)",4
"(2, 5, 23)",4
"(2, 6, 11)",4
"(2, 6, 24)",4
"(2, 6, 29)",4
"(2, 6, 38)",4
"(2, 7, 23)",4
"(2, 9, 31)",4
"(2, 9, 43)",4
"(2, 10, 18)",4
"(2, 10, 43)",4
"(2, 11, 14)",4
"(2, 11, 33)",4
"(2, 11, 38)",4
"(2, 11, 41)",4
"(2, 12, 31)",4
"(2, 13, 34)",4
"(2, 13, 37)",4
"(2, 14, 16)",4
"(2, 14, 23)",4
"(2, 14, 29)",4
"(2, 15, 35)",4
"(2, 15, 41)",4
"(2, 15, 43)",4
"(2, 16, 17)",4
"(2, 16, 18)",4
"(2, 17, 19)",4
"(2, 18, 26)",4
"(2, 21, 31)",4
"(2, 21, 42)",4
"(2, 23, 29)",4
"(2, 23, 41)",4
"(2, 24, 29)",4
"(2, 25, 31)",4
"(2, 25, 37)",4
"(2, 26, 27)",4
"(2, 29, 33)",4
"(2, 30, 31)",4
"(2, 31, 37)",4
"(2, 33, 37)",4
"(2, 33, 38)",4
"(2, 34, 37)",4
"(2, 34, 38)",4
"(2, 34, 40)",4
"(2, 34, 43)",4
"(2, 38, 43)",4
"(3, 4, 6)",4
"(3, 4, 36)",4
"(3, 4, 43)",4
"(3, 5, 7)",4
"(3, 5, 14)",4
"(3, 5, 38)",4
"(3, 5, 39)",4
"(3, 6, 12)",4
"(3, 6, 13)",4
"(3, 6, 19)",4
"(3, 6, 21)",4
"(3, 6, 44)",4
"(3, 8, 10)",4
"(3, 8, 27)",4
"(3, 8, 31)",4
"(3, 8, 37)",4
"(3, 9, 15)",4
"(3, 9, 17)",4
"(3, 9, 25)",4
"(3, 9, 41)",4
"(3, 10, 23)",4
"(3, 10, 26)",4
"(3, 10, 31)",4
"(3, 10, 36)",4
"(3, 11, 14)",4
"(3, 13, 29)",4
"(3, 14, 22)",4
"(3, 14, 27)",4
