회차,순위정렬1,순위정렬2,순위정렬3,순위정렬4,순위정렬5,순위정렬6
380,1,5,8,19,27,30
381,3,5,13,28,31,39
382,15,16,23,28,32,45
383,1,13,18,30,32,44
384,8,21,23,39,42,45
385,8,22,33,35,37,39
386,6,11,17,23,33,34
387,5,9,11,26,27,30
388,3,6,32,34,36,43
389,12,13,24,29,33,43
390,1,5,8,19,25,44
391,12,18,24,25,44,45
392,2,12,18,24,28,29
393,7,23,29,42,43,44
394,2,13,16,34,43,45
395,12,23,25,29,31,34
396,4,5,8,12,13,26
397,5,14,32,34,37,45
398,8,15,25,31,36,43
399,2,3,8,15,19,43
400,10,17,27,28,40,43
401,10,26,27,37,39,44
402,6,8,11,28,40,45
403,1,13,22,27,43,45
404,5,7,8,21,27,32
405,2,15,20,21,28,35
406,11,16,20,22,30,36
407,14,17,28,29,32,38
408,1,7,21,39,40,43
409,5,18,25,37,38,40
410,2,3,10,14,37,43
411,1,13,23,28,33,42
412,8,15,19,21,28,42
413,3,12,21,29,39,44
414,12,20,26,36,42,43
415,3,4,5,25,28,40
416,7,25,27,33,38,41
417,5,6,9,21,29,41
418,11,22,25,26,31,44
419,8,16,23,30,41,44
420,10,17,26,27,35,40
421,18,21,22,35,37,42
422,8,10,21,25,31,34
423,2,3,6,21,35,42
424,7,19,21,25,26,32
425,8,17,22,32,34,45
426,4,11,13,20,26,28
427,24,25,28,36,40,42
428,1,2,9,31,40,42
429,6,14,19,25,42,44
430,3,5,11,14,29,39
431,10,11,18,26,42,45
432,7,12,13,18,20,21
433,10,29,33,34,35,43
434,1,8,12,25,31,32
435,11,22,29,32,37,45
436,4,6,10,32,39,42
437,15,27,33,34,44,45
438,5,17,34,37,40,44
439,1,2,4,6,27,37
440,5,16,24,34,39,41
441,4,5,35,36,40,44
442,3,13,14,17,34,44
443,5,9,21,22,32,37
444,10,15,28,34,36,44
445,3,8,20,27,31,36
446,5,10,15,17,36,40
447,6,22,31,33,35,41
448,3,12,14,29,30,45
449,2,11,16,21,30,35
450,8,9,23,25,37,43
451,1,25,29,36,38,44
452,5,12,17,34,36,43
453,2,23,25,33,38,44
454,3,13,19,29,43,45
455,1,8,15,23,33,34
456,5,12,13,29,38,44
457,2,10,11,17,34,43
458,2,15,17,19,43,44
459,1,8,14,18,19,38
460,11,18,29,30,32,42
461,1,5,10,15,16,25
462,2,4,10,12,20,43
463,4,21,33,35,36,43
464,3,23,30,35,37,38
465,5,15,29,30,43,44
466,15,18,26,33,40,42
467,1,7,8,20,25,38
468,4,24,26,27,29,42
469,3,4,17,29,42,43
470,2,13,23,28,34,45
471,4,22,24,37,38,45
472,17,18,21,24,29,32
473,2,18,20,27,39,40
474,8,9,17,19,22,34
475,5,7,29,30,35,44
476,3,19,29,38,43,44
477,6,7,20,31,34,44
478,3,9,23,28,32,35
479,12,20,26,34,37,40
480,9,12,13,20,21,34
481,2,13,14,31,39,45
482,5,11,18,24,31,36
483,4,12,27,37,40,44
484,5,7,12,13,41,42
485,8,13,19,20,23,40
486,1,5,15,31,40,43
487,2,10,14,15,24,45
488,8,21,23,28,32,43
489,3,9,15,22,25,26
490,1,16,24,28,31,36
491,6,17,19,24,29,36
492,1,2,7,22,34,40
493,2,3,16,17,34,38
494,18,20,25,28,32,36
495,5,7,12,22,36,38
496,3,10,17,20,29,45
497,3,15,26,27,35,39
498,10,19,23,27,43,45
499,1,2,6,20,35,39
500,2,4,10,14,24,39
501,5,7,8,15,22,29
502,2,4,38,40,41,43
503,4,5,6,15,19,30
504,9,19,25,32,37,40
505,1,2,19,35,37,43
506,22,25,30,32,40,45
507,1,19,37,39,41,45
508,4,6,19,22,25,34
509,18,23,29,31,32,38
510,1,25,29,34,36,41
511,9,13,19,27,36,40
512,6,9,13,15,17,45
513,6,13,22,33,38,39
514,2,6,11,26,29,32
515,4,26,27,30,36,39
